COURSE_NUMBER,COURSE_NAME,PREREQUISITE
CSC400,DiscreteStructuresforComputerScience,
CSC401,IntroductiontoProgramming,None
CSC402,DataStructuresI,CSC 401
CSC403,DataStructuresII,CSC 402
CSC406,SystemsI,CSC 401
CSC407,SystemsII,CSC 406 and CSC 402
CSC421,AppliedAlgorithmsandStructures,CSC 400 and CSC 403
CSC435,DistributedSystemsI,CSC 403 and CSC 407
CSC447,ConceptsofProgrammingLanguages,CSC 403 and CSC 406
CSC453,DatabaseTechnologies,CSC 403
SE450,Object-OrientedSoftwareDevelopment,CSC 403
CSC436,WebApplications,CSC 435 and CSC 447
CSC438,FrameworkforWebApplicationDevelopment,
CSC439,ComputerSecurity,
CSC443,IntroductiontoOperatingSystems,
CSC448,CompilerDesign,CSC 447
CSC461,OptimizedC,CSC 400 and CSC 403 and CSC 406
CSC462,CMultithreading,GAM 491 or CSC 461
CSC471,MobileApplicationDevelopmentforiOS,CSC 403 and CSC 407
CSC472,MobileApplicationDevelopmentforAndroid,CSC 403 and CSC 407
CSC475,IntroductiontoRobotics,
CSC534,SoftwareDevelopmentforLimitedandEmbeddedDevices,SE 450
CSC536,DistributedSystemsII,CSC 435
CSC540,MobileApplicationDevelopmentII,CSC 471
CSC548,AdvancedCompilerDesign,CSC 448.
CSC549,DatabaseSystemImplementation,CSC 453
CSC551,DistributedDatabaseSystems,CSC 453 and (CSC 435 or TDC 405 or TDC 463)
CSC552,ConcurrentSoftwareDevelopment,SE 450 and CSC 407
CSC553,AdvancedDatabaseConcepts,CSC 453.
CSC595,TopicsinComputerScience,"For specific prerequisites, see syllabus or consult course instructor. (variable credit)"
CNS450,DigitalForensicTechniques,CSC 407 or CNS 418
GAM690,GameDevelopmentStudioI,
GAM691,GameDevelopmentStudioII,
HCI441,IntroductiontoUser-CenteredDevelopment,CSC 403
SE441,ContinuousDeliveryandDevops,CSC 403
SE452,Object-OrientedEnterpriseComputing,CSC 403
SE459,AgileSoftwareDevelopment,SE 450
SE525,SoftwareSecurityArchitecture,CSC 435 and SE 450
SE526,SoftwareSecurityAssessment,
SE554,EnterpriseComponentArchitecture,SE 450 or SE 452.
SE560,StructuredDocumentInterchangeandProcessing,SE 450 OR ((CSC 383 or CSC 301)  and SE 430).
TDC478,InformationStorageandManagement,none
TDC484,ScriptingforNetworkManagement,
TDC568,NetworkManagement,TDC 463
CSC431,ScientificComputing,(CSC 401 and two quarters of calculus) or instructor permission
CSC440,Cryptology,CSC 403
CSC444,AutomataTheoryandFormalGrammars,CSC 400 and CSC 403
CSC489,TheoryofComputation,CSC 444 or CSC 421.
CSC503,ParallelAlgorithms,CSC 421
CSC521,MonteCarloAlgorithms,(CSC 402 or CSC 404) and CSC 423 or  consent of instructor
CSC525,CombinatorialOptimization,CSC 421.
CSC531,IntroductiontoBioinformatics,"any required will be taught in the course.  Topics will include genomics, biological databases, sequence alignment (longest common subsequence), phylogenetic trees, and protein folding. Prerequisites"
CSC535,FormalSemanticsofProgrammingLanguages,CSC 447.
CSC547,AdvancedTopicsinProgramLanguages,Instructor consent required.
CSC557,FoundationsofComputerSecurity,CSC 439
CSC580,DesignofObject-OrientedLanguages,SE 450
CSC591,TopicsinAlgorithms,"For specific prerequisites, see syllabus or consult course instructor. (variable credit)"
SE533,SoftwareValidationandVerification,SE 450.
CSC423,DataAnalysisandRegression,IT 403
CSC424,AdvancedDataAnalysis,CSC 423 or consent of instructor.
CSC425,TimeSeriesAnalysisandForecasting,CSC 423 or MAT 456 or consent of instructor
CSC428,DataAnalysisforExperimenters,CSC 423.
CSC433,ScriptingforDataAnalysis,IT 403 and (CSC 401  or IT 411)
