COURSE_NUMBER,COURSE_NAME,PREREQUISITE,CLASS_TYPE,FALL,WINTER,SPRING,SUMMER,ONLINE,,,,,
IS421,Systems Analysis,None,2,1,1,1,1,1,,,,,
CSC451,Database Design,None,2,1,1,1,1,1,,,,,
IS422,"System Design, Implementation, and Maintenance",IS 421 and CSC 451,2,1,1,1,1,1,,,,,
IS430,Fundamentals of IT Project Management,None,2,1,1,1,1,1,,,,,
CNS440,Information Security Management,None,3,1,1,1,0,1,,,,,
IS435,Organizational Modeling,IS 421 or SE 430,3,1,0,1,0,1,,,,,
IS485,"Requirements Elicitation, Analysis, and Specification",IS 422 or IS 430 or PM 430.,3,0,1,0,0,1,,,,,
IS535,Information Technology Investment Financial Analysis,SE 477 or IS 565 or ACCT 500 or IS 430 or PM 430 or ECT 455,3,1,1,1,0,1,,,,,
IS560,Enterprise Systems,Advanced Standing,3,1,0,1,0,1,,,,,
ECT424,Enterprise Infrastructure,,4,1,1,1,1,1,,,,,
ECT480,Intranets and Portals,ECT 424,4,0,0,1,0,1,,,,,
HCI440,Introduction to User-Centered Design,None,4,1,1,1,1,1,,,,,
IS431,Digital Product Management,None,4,1,1,0,0,1,,,,,
IS440,Collaborative Technologies for Leading Projects,None,4,1,1,1,1,1,,,,,
IS455,Electronic Business,None.  For Kellstadt students or students pursuing the MS in Business Information Technology only.,4,1,0,1,0,1,,,,,
IS540,Global Information Technology,Completion of five or more SoC MS level courses is required.,4,0,1,0,0,1,,,,,
IS556,Enterprise Project Management,IS 430 or PM 430,4,1,1,1,0,1,,,,,
IS565,IT Outsourcing,Completion of five or more SoC MS level courses is required,4,0,1,1,0,1,,,,,
IS578,Information Technology Consulting,Completion of foundation or core phase.,4,0,0,1,0,1,,,,,
SE582,Software-Intensive Systems Engineering and Management,(SE 477 or PM 430 or IS 430) and (SE 430 or SE 482 or IS 485),4,0,0,0,0,0,,,,,
IS577,Information Systems Policies and Strategies,Completion of ten or more SoC MS level courses is required.,5,0,1,0,1,1,,,,,
,,,,,,,,,,,,,
CDM Open Elective Courses,,,,,,,,,,,,,
Students must complete 1 CDM Open Elective Course chosen from either IS concentration courses from any IS concentration or other courses meeting the following rules:,,,,,,,,,,,,,
"Any CNS, CSC, ECT, GAM, GPH, HCI, HIT, IS, IT, PM, SE, or TDC course in the 421-699 range qualifies.",,,,,,,,,,,,,
Credit for courses taken outside of CDM will only be given if approved by a faculty advisor.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Class Type For IS,,,,,,,,,,,,,
1,Inrto,,,,,,,,,,,,
2,Fundation,,,,,,,,,,,,
3,Advanced Courses,,,,,,,,,,,,
4,Major Elective Courses,,,,,,,,,,,,
5,Capstone,,,,,,,,,,,,
